Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
11,10,0.4013,18.06,7829,0.002295,0.999933,"AADACL2 ARGFX C6orf48 HLA-DMB MSH5 SAYSD1 STK19 TAP1 TAP2 TNXB"
12,10,0.4090,18.41,8205,0.002233,0.999933,"AADACL3 C11orf52 C1QB C1orf123 HTR6 MTFR1L NBL1 PLA2G5 PQLC2 WDTC1"
13,26,0.6754,219.5,1.755e+04,0.01232,1.00000,"ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 CCDC93 COMMD10 COMMD2 COMMD3 COMMD4 COMMD5 COMMD6 COMMD7 COMMD8 COMMD9 LZIC RAB21 RAB7A SNX17 VPS26C VPS29 VPS35 VPS35L WASHC3 WASHC4 WASHC5"
14,23,0.3823,96.72,1.806e+04,0.005313,1.00000,"AAED1 AKAP2 AMBP C9orf3 C9orf47 C9orf84 FAM206A FBP1 FBP2 GNA14 KIF12 MUSK NUTM2G OR1J1 OR1J4 OR1L1 OR1L8 OR1N2 PALM2 TXNDC8 ZNF484 ZNF510 ZNF782"
15,23,0.4391,111.1,1.500e+04,0.007329,1.00000,"AAGAB AGFG1 ANKH AP2A1 AP2A2 AP2B1 AP2M1 AP2S1 C10orf88 CCDC32 CLTC DNM2 FCHO2 ITSN2 PICALM PPP6C RAB5C RALGAPB SH3GL1 SLC11A2 STEAP3 TFRC WDR7"
16,12,0.4172,27.54,8399,0.003259,0.999986,"ATXN10 EIF3D PES1 RANGAP1 RPL3 RRP7A SF3A1 TFIP11 THOC5 TOMM22 TUBGCP6 ZMAT5"
17,6,0.4054,6.081,5006,0.001210,0.998474,"AAMDC AQP8 CCPG1 CDC20B CFAP126 SGTB"
18,6,0.4560,6.840,4031,0.001689,0.998474,"AAMP CHMP7 LEMD2 NUP35 PDE2A ZNF574"
19,9,0.4048,14.57,7630,0.001902,0.999853,"AANAT EBPL GPR142 MCRIP1 MIF4GD NT5C RHBDF2 SNED1 SSTR2"
20,11,0.4057,22.31,7048,0.003146,0.999969,"AAR2 CD2BP2 DDX23 EAF1 GEMIN4 ICE2 INTS14 NCDN PHAX TOE1 USPL1"
21,28,0.3305,124.9,2.280e+04,0.005436,1.00000,"AARD C8orf76 COL14A1 COLEC10 DCDC2 ENPP2 FAM83A FAM84B FBXO32 GNPNAT1 GSDMC HSD17B4 KLHL38 MTBP MTSS1 NETO2 NOV PLXNC1 PMP2 RNF139 RRM2B SLC22A4 SLC30A8 SYBU TRMT12 WDYHV1 WISP1 ZHX2"
22,24,0.3945,108.9,1.703e+04,0.006337,1.00000,"AARS CDT1 CENPT CFDP1 CIAO2B CIAPIN1 COG4 EXOSC6 GINS2 GINS3 KARS MPHOSPH6 NIP7 NOB1 NUP93 NUTF2 ORC6 PSMD7 RPL13 SF3B3 SLC7A6OS TANGO6 UTP4 ZC3H18"
23,120,0.3983,2844,8.351e+04,0.03285,1.00000,"AARS2 AURKAIP1 DAP3 DDX28 EARS2 ERAL1 FARS2 GADD45GIP1 GATB GATC GFM1 GFM2 GTPBP10 HARS2 KIAA0391 LARS2 LRPPRC MALSU1 MARS2 MIPEP MRM3 MRPL10 MRPL11 MRPL12 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL18 MRPL19 MRPL2 MRPL20 MRPL21 MRPL22 MRPL23 MRPL27 MRPL28 MRPL3 MRPL30 MRPL32 MRPL33 MRPL34 MRPL35 MRPL36 MRPL37 MRPL38 MRPL39 MRPL4 MRPL40 MRPL41 MRPL42 MRPL43 MRPL44 MRPL45 MRPL46 MRPL47 MRPL48 MRPL49 MRPL50 MRPL51 MRPL53 MRPL54 MRPL55 MRPL57 MRPL9 MRPS10 MRPS11 MRPS12 MRPS14 MRPS16 MRPS17 MRPS18A MRPS18B MRPS18C MRPS2 MRPS21 MRPS22 MRPS23 MRPS24 MRPS25 MRPS26 MRPS27 MRPS28 MRPS30 MRPS31 MRPS33 MRPS35 MRPS5 MRPS6 MRPS7 MRPS9 MTERF3 MTG1 MTG2 MTPAP NARS2 NGRN NSUN4 PNPT1 POLG POLG2 POLRMT PTCD1 PTCD3 QRSL1 RARS2 RPUSD4 SARS2 SLC25A26 SSBP1 SUPV3L1 TARS2 TFAM TFB1M TFB2M TRMT10C TRUB2 TWNK VARS2"
24,5,0.4425,4.425,3813,0.001156,0.996692,"AARSD1 CALCA GLTPD2 IGSF22 PDZD3"
25,6,0.4164,6.245,4848,0.001283,0.998474,"AASDH CDK20 CNR1 COBL MMD2 TSPAN33"
26,13,0.4247,33.13,8544,0.003851,0.999993,"ACACA ACLY CHP1 FASN GPAT4 GPI HK2 PFKP PGP SLC25A1 TMEM120B VDAC1 VKORC1L1"
27,23,0.4006,101.3,1.569e+04,0.006400,1.00000,"AATF CDC6 DHX8 PSMB3 PSMD11 PSMD3 RPL11 RPL14 RPL17 RPL18 RPL18A RPL19 RPL23 RPL23A RPL27 RPL37 RPL4 RPL7 RPL9 RPLP2 RPS15A RPS6 ZNF830"
28,12,0.4081,26.94,9724,0.002756,0.999986,"AATK BAIAP2 CSNK1D DCXR LRRC45 MAFG PYCR1 RAC3 RFNG SLC25A10 SLC38A10 TEPSIN"
29,28,0.3291,124.4,2.187e+04,0.005642,1.00000,"AKAP2 ALDH1A1 C9orf16 C9orf84 CERCAM CIZ1 FAM129B GBGT1 KIF12 NTMT1 OR1J1 OR1J2 OR1J4 OR1L1 OR1L8 OR1N2 OR1Q1 PALM2 PIP5KL1 PTBP3 RABEPK SH2D3C TOR1B TXNDC8 UCK1 USP20 ZBTB6 ZNF483"
30,7,0.4064,8.534,5752,0.001478,0.999299,"ABCA10 ASPSCR1 EPHB4 GRID1 LAPTM5 NGFR ZNF609"
31,5,0.4243,4.243,3861,0.001095,0.996692,"ABCA12 CSRP2 JAG1 JAG2 NRARP"
32,6,0.4024,6.036,4718,0.001275,0.998474,"ABCA13 APOA5 CAPN12 PI16 PRAM1 TMEM136"
33,29,0.3266,132.6,2.358e+04,0.005578,1.00000,"ABCA2 AK8 ARRDC1 ASB6 C9orf43 CERCAM CIZ1 DBH DPP7 ENTPD2 ENTR1 FAM69B GLT6D1 LCN10 LCN15 LCN6 LCN8 MYMK NPDC1 NTMT1 PHPT1 RNF224 SARDH STKLD1 TOR1B TUBB4B UAP1L1 USP20 ZNF79"
34,14,0.4117,37.46,1.051e+04,0.003542,0.999997,"ADAMTS15 ADAMTS8 CCDC153 FLI1 FXYD6 KCNJ1 KCNJ5 NTM NXPE4 OR10G9 OR4D5 OR6M1 OR6X1 TMEM136"
35,19,0.4035,69.00,1.325e+04,0.005166,1.00000,"ALG14 ATP5PB BCAS2 CDC7 DDX20 DNTTIP2 GLMN HEATR3 PRPF38B PSMA5 RABGGTB RNPC3 RPAP2 RPF1 RPL5 SARS SASS6 WARS2 WDR3"
36,5,0.4367,4.367,3983,0.001093,0.996692,"ABCA5 GRM1 HOGA1 MND1 PLXNB2"
37,38,0.3331,234.2,2.764e+04,0.008378,1.00000,"ACCS ACCSL ALX4 ANO3 BDNF CAT CHRM4 COMMD9 CRY2 EHF ELF5 F2 FBXO3 HARBI1 KCNC1 LARGE2 LIN7C MAPK8IP1 MRGPRX1 MRGPRX3 MYBPC3 OR4A47 OR4A5 OR4B1 OR4C12 OR4C13 OR4C3 OR4C46 OR4S1 OR4X1 PAMR1 PDHX PTPRJ RAPSN SAA2 SLC1A2 TP53I11 TRIM49B"
38,67,0.3777,835.1,5.205e+04,0.01575,1.00000,"CBR1 CBR3 CHODL CLDN14 CLDN17 CLDN8 COL6A1 COL6A2 CRYZL1 DNAJC28 FAM243A HUNK IFNAR2 IFNGR2 IL10RB ITSN1 KCNJ6 KRTAP10-11 KRTAP10-3 KRTAP10-6 KRTAP10-8 KRTAP10-9 KRTAP11-1 KRTAP12-1 KRTAP12-2 KRTAP12-3 KRTAP12-4 KRTAP13-1 KRTAP13-2 KRTAP13-3 KRTAP13-4 KRTAP15-1 KRTAP19-1 KRTAP19-2 KRTAP19-3 KRTAP19-4 KRTAP19-5 KRTAP19-6 KRTAP19-7 KRTAP19-8 KRTAP20-1 KRTAP20-2 KRTAP21-1 KRTAP21-2 KRTAP22-1 KRTAP23-1 KRTAP24-1 KRTAP27-1 KRTAP6-1 KRTAP6-2 KRTAP8-1 MAP3K7CL MRAP MX2 OLIG1 OLIG2 PCBP3 RIPPLY3 SIM2 SON TCP10L TIAM1 TMEM50B TMPRSS2 TMPRSS3 TRPM2 UBASH3A"
39,26,0.4056,131.8,2.062e+04,0.006336,1.00000,"ABCA8 ACSF2 CSH2 CSHL1 EPX GDPD1 GH2 HOXB5 HOXB9 LIMD2 LPO METTL2B MIF4GD MKS1 MPO MYCBPAP NME1 NME2 OR4D1 OR4D2 PLEKHM1 PRR29 RSAD1 SCPEP1 SEPT4 STRADA"
40,7,0.4119,8.649,5746,0.001499,0.999299,"ABCA9 ADD2 ATP11A C19orf81 CRLF3 DLEC1 TMC3"
41,18,0.3570,54.62,1.415e+04,0.003836,1.00000,"C6orf203 ENPP1 ENPP3 FUCA2 GABRR1 PHACTR2 PTPRK RAET1G RAET1L TAAR2 TAAR6 TAAR8 TCF21 ULBP1 ULBP2 ULBP3 VNN2 WISP3"
42,44,0.2921,276.3,3.381e+04,0.008086,1.00000,"ABCB10 ADAL APBA2 ARHGAP11A ARHGAP11B BMF BNIP2 C15orf53 CHRFAM7A CHRNA7 DEXI DMXL2 DUOXA1 DUOXA2 EPB42 GABRA5 GOLGA8H GOLGA8M GOLGA8R HCN2 LPCAT4 MYO5A MYO5C NIPA1 NIPA2 OCA2 PLA2G4D PLA2G4E PLA2G4F PLEKHO2 PPIB RPUSD2 SCG5 SNURF SQOR STRC TGM5 TGM7 TMCO5A TMOD2 TRIM69 TYRO3 UBE2Q2L WHAMM"
43,11,0.4114,22.62,9116,0.002470,0.999969,"ABCB11 BBS5 CASP10 CPO CRYGA CRYGB CRYGC CRYGD CXCR2 SLC11A1 TFPI"
44,58,0.3464,572.5,4.475e+04,0.01260,1.00000,"ABCB4 ABHD11 ARPC1B ASL C7orf43 C7orf61 CASTOR3 CLDN3 CLIP2 CYP3A4 CYP3A43 CYP3A5 CYP3A7 DLX6 FBXO24 GNAI1 GNAT3 GNG11 GRM8 GUSB IFT22 KCTD7 MOGAT3 MUC12 PILRA PILRB PMS2 PON1 PON3 PVRIG RNF148 SEMA3E SEPT14 SLC26A4 SLC26A5 SPDYE1 TBL2 TECPR1 TMEM248 TPST1 TRIM50 TRIM73 TYW1 VKORC1L1 VPS50 WNT2 ZKSCAN1 ZNF138 ZNF273 ZNF394 ZNF479 ZNF679 ZNF727 ZNF736 ZNF804B ZNF92 ZSCAN21 ZSCAN25"
45,64,0.2969,598.5,5.090e+04,0.01159,1.00000,"ABCA13 ABCB5 ADCYAP1R1 AEBP1 AGR2 AGR3 AMZ1 CALM1 CYP2W1 DBNL DPY19L1 EGR3 FKBP9 GCK GHRHR GPCPD1 GSDME HOXA1 HOXA5 HOXA6 HOXA7 HOXA9 IGFBP3 INHBA INMT KIAA0895 MINDY4 MTURN MYL7 MYO1G NIPSNAP2 NME8 NPC1L1 NPY NREP NUPR2 PDE1C PHKG1 PKD1L1 POM121L12 POU6F2 PRR15 PSPH RBAK RNASET2 RP9 RSPH10B RSPH10B2 SCIN SEPT14 SLC29A4 SPATA48 SUGCT SUMF2 UBE2D4 UPP1 URGCP VWC2 WIPF3 ZNF12 ZNF479 ZNF713 ZNF716 ZNRF2"
46,28,0.3971,150.1,1.907e+04,0.007787,1.00000,"ATP5MF BET1 BUD31 COPS6 CPSF4 CRCP CUL1 EXOC4 LAMTOR4 LSM8 MCM7 MEPCE NOM1 NRF1 NUP205 ORC5 PMPCB POP7 PSMC2 PTCD1 RBM18 RBM28 RBM48 RINT1 SEM1 SRRT TNPO3 ZNHIT1"
47,65,0.2946,612.8,5.151e+04,0.01173,1.00000,"ADAM30 AKR7A3 AMIGO1 AMY2A AMY2B C1orf162 CASQ2 CD101 CHIA CLCA4 CYB561D1 DENND2C EXTL2 FAM19A3 FAM69A FNDC7 GBP1 GBP4 GBP5 GBP6 GNAI3 GNAT2 GPR61 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 HAO2 HENMT1 HMGCS2 HSD3B1 HSD3B2 IFI44 INKA2 KCNA10 KCNA2 KCNA3 KCND3 LRIG2 MCOLN3 MOV10 MYBPHL NGF NRBF2 OVGP1 PHTF1 PNRC2 PPM1J PSRC1 PTPN22 RAP1A REG4 RHOC RSBN1 SLC22A15 SLC25A24 SLC6A17 SYPL2 TMEM167B TMEM56 TRIM45 TSHB UBL4B VANGL1"
48,7,0.4114,8.640,5459,0.001576,0.999299,"ABCB9 ARL6IP4 HCAR2 HCAR3 P2RX4 PITPNM2 TRAFD1"
49,80,0.3454,1091,6.176e+04,0.01732,1.00000,"ABCC6 ACSM1 ACSM2A ACSM2B ACSM3 ACSM5 AHSP ARL6IP1 ATP2A1 BCKDK BFAR C16orf45 C16orf92 CA5A CCDC189 CHP2 CLN3 CORO7 DCTPP1 DNAH3 DOC2A FAM57B GDPD3 HIRIP3 HS3ST2 HSD3B7 IL21R ITGAD ITGAL ITGAM ITGAX KIAA2013 LAT MARF1 METTL22 MPV17L MYH11 MYLPF NFATC2IP NOMO1 NOMO2 NPIPA5 NPIPB6 ORAI3 OTOA PDZD9 PHKG2 PKD1 PLA2G10 PRR14 PRSS21 PYCARD PYDC1 QPRT SBK1 SCNN1B SCNN1G SEPT1 SEPT12 SH2B1 SLC5A2 SPN STX1B SULT1A1 SULT1A2 SYT17 TBX6 TMC7 USP31 VKORC1 YPEL3 ZG16 ZNF500 ZNF688 ZNF689 ZNF747 ZNF764 ZNF771 ZNF785 ZNF843"
50,25,0.4033,121.0,1.895e+04,0.006327,1.00000,"BTN2A1 BTN2A2 GPX6 HIST1H1T HLA-A HLA-DPA1 HLA-DPB1 HLA-F HLA-G OR14J1 OR2B3 OR2B6 OR2J2 OR2J3 OR2W1 PSORS1C2 SLC17A1 SLC17A2 SLC17A4 TRIM10 TRIM26 ZKSCAN4 ZNF184 ZSCAN16 ZSCAN31"
51,73,0.3177,834.8,5.844e+04,0.01405,1.00000,"ABCC11 ABCC12 ADGRG3 ADGRG5 AGRP C16orf78 C16orf86 CA7 CALB2 CBLN1 CCDC102A CDH5 CES1 CES2 CES3 CES4A CES5A CETP CHST5 CHST6 CKLF CLEC18A CLEC18B CLEC18C CMTM1 CMTM2 CMTM4 CPNE2 CTRB1 CTRB2 DPEP2 DRC7 DUS2 FUK GLG1 HSD11B2 HSF4 IRX3 IRX5 IRX6 LCAT LDHD MMP15 MMP2 MT1A MT1B MT1F MT1G MT1H MT1M MT1X MT2A MT4 MTSS1L NLRC5 NRN1L PARD6A PDP2 PDPR PDXDC1 PHKB PLA2G15 PLLP SHCBP1 SMPD3 TEPP TMED6 TMEM170A TPPP3 WWP2 ZDHHC1 ZNF19 ZNF23"
52,6,0.4206,6.309,5010,0.001255,0.998474,"ABCC2 AP4E1 GDF11 HCN2 TMEM184A ZNF232"
53,6,0.4270,6.405,5072,0.001258,0.998474,"ABCC3 ADPRHL1 BFSP1 PDZD3 REEP2 USP34"
54,5,0.4011,4.011,3824,0.001045,0.996692,"ABCC5 MACF1 MEGF10 PRKAB2 SAA1"
55,5,0.4375,4.375,3914,0.001114,0.996692,"ABCC8 CHRFAM7A FAM92B HCN2 TLDC1"
56,5,0.4081,4.081,3927,0.001035,0.996692,"ABCC9 C1orf226 CIRBP MUM1 SELENOK"
57,7,0.4063,8.532,5515,0.001541,0.999299,"ABCD2 ARL8B C12orf40 CPNE8 FOXI1 SLC8B1 VPS18"
58,15,0.5320,55.86,1.023e+04,0.005413,0.999999,"CCDC12 CCDC130 CFAP20 CLASRP CRIPT CWF19L1 CWF19L2 DHX35 ESS2 FRA10AC1 GPATCH1 ISY1 LENG1 PPIE WDR83"
59,45,0.3553,351.7,2.630e+04,0.01315,1.00000,"ADSL ADSS AHCY ATIC CAD CTPS1 DHFR DHFR2 DHODH DTYMK FH FPGS GART GCLC GMPS GNPNAT1 IMPDH2 IPPK MTHFD1 MTR NAMPT NMNAT1 PAICS PFAS PGD PGM3 PPAT PPCDC PPCS RFK RPE RPIA SDHA SDHB SDHC SLC4A7 TFRC TKT TPK1 TRPM7 TYMS UGP2 UMPS UXS1 YRDC"
60,33,0.3629,191.6,2.284e+04,0.008295,1.00000,"ABCE1 CLNS1A COPB2 CSE1L EIF2S1 EIF3CL ETF1 ISY1 NARS NBEAL1 NEDD8 NUTF2 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMB3 RPL14 RPL17 RPL18 RPL18A RPL19 RPL7 RPS17 SMU1 SNRPD1 SNRPD2 SNU13 SRP54 VCP YARS"
61,15,0.5576,58.55,1.057e+04,0.005493,0.999999,"ABCF1 DHX16 EXOC2 FARS2 MRPS18B NOL7 NUP153 PAK1IP1 PPP1R10 PRPF4B RIOK1 RPP40 SNRNP48 TUBB4B WDR46"
62,8,0.4139,11.59,6097,0.001892,0.999679,"ABCF2 DRG1 EVI5 HSPA14 MPG TRMT2A TYROBP ZC3H15"
63,6,0.6926,10.39,4443,0.002327,0.998474,"ABCF3 NFIA NFIB NFIC NFIX PTGES3"
64,26,0.4009,130.3,1.766e+04,0.007305,1.00000,"ABCG1 BUB3 CNIH4 DUX4 HSPE1 OR2A25 RPL11 RPL12 RPL13 RPL14 RPL17 RPL18 RPL18A RPL19 RPL23 RPL23A RPL27 RPL37 RPL4 RPL6 RPL9 RPLP0 RPLP2 RPS13 RPS15A RPS6"
65,48,0.3244,365.9,3.637e+04,0.009935,1.00000,"ACTR3B AGBL3 AKR1D1 CLEC5A CPA1 CPA2 CPA5 EPHB6 FAM71F2 HYAL4 KEL KIAA1147 MGAM OR2A12 OR2A2 OR2A5 OR2A7 OR2F2 OR6B1 OR6V1 OR9A2 OR9A4 PRSS1 PRSS37 PRSS58 RAB19 RNF148 SPAM1 STRA8 TAS2R3 TAS2R38 TAS2R39 TAS2R40 TAS2R41 TAS2R60 TCAF2 THAP5 TRPV5 TRPV6 TSGA13 WNT16 WNT2 ZNF212 ZNF282 ZNF398 ZNF425 ZNF783 ZNF786"
66,19,0.3683,62.98,1.390e+04,0.004498,1.00000,"ABRAXAS2 ARRDC4 C1QL1 CCDC96 CTSO CYS1 DNAL4 IER5 ITPKA MDK PCMTD1 POLR1E PTRH1 PWP1 SALL3 TAC3 TCOF1 TMEM82 TSPAN17"
67,24,0.3325,91.78,1.837e+04,0.004957,1.00000,"ADAMTSL5 BCL2L15 CYBC1 DDC DEF8 EIF2D FDX1 GGACT KCNK13 KLHDC3 MAFB MAPKAPK5 NAT8L PSKH1 QPCTL RDH10 RPH3A SELE SLC5A12 TAL2 TNFRSF19 UCKL1 VWA5A WNT8A"
68,43,0.2937,265.2,3.466e+04,0.007575,1.00000,"ABHD3 ANKRD29 B4GALT6 C18orf32 CABLES1 CDH20 CDH7 CELF4 CHST9 CNDP2 CTIF DSC1 DSC3 DSEL DSG1 DSG2 DSG3 DSG4 FAM69C GALNT1 HRH4 KIAA1328 LAMA3 MAPRE2 PQLC1 PSTPIP2 RIT2 SERPINB10 SERPINB12 SERPINB2 SERPINB3 SERPINB5 SERPINB7 SERPINB8 SLC14A2 ST8SIA3 SYT4 TPGS2 ZBTB7C ZNF24 ZNF396 ZNF397 ZNF521"
69,27,0.3604,126.5,2.029e+04,0.006181,1.00000,"ANO1 BBS1 CABP2 CABP4 CARNS1 CCDC36 CREM CTTN FADD FGF19 FGF4 FOLR1 FOLR2 GSTP1 KRTAP5-10 KRTAP5-9 MRGPRD MRGPRF MYEOV NUDT8 P2RY6 PITPNM1 POLD4 TBC1D10C TBX10 TESMIN TMEM134"
70,8,0.4423,12.38,6436,0.001916,0.999679,"DBNDD1 GAS8 MC1R NRG4 PTH SPG7 TCF25 VPS9D1"
71,38,0.3542,249.0,2.964e+04,0.008309,1.00000,"ABHD12 ACSS1 APMAP BANF2 BFSP1 CFAP61 CST1 CST11 CST2 CST3 CST4 CST5 CST7 CST8 CST9 CST9L CSTL1 DDRGK1 FOXA2 GGTLC1 GZF1 KIF16B MGME1 NANP NAPB NINL NKX2-4 OTOR PAX1 PCSK2 PLCB4 RBBP9 SIVA1 SYNDIG1 TGM3 THBD ZNF133 ZNF337"
72,20,0.4116,78.20,1.357e+04,0.005712,1.00000,"CCNK CINP DDX24 DYNC1H1 EIF2B2 EIF2S1 EIF5 ERH LRR1 NRDE2 POLE2 PSMA3 PSMA6 PSMC1 PSMC6 RBM25 RPS29 SNAPC1 WARS WDR25"
73,5,0.4255,4.255,4099,0.001034,0.996692,"ABHD13 ACSL5 FBLN1 GAPDHS RASAL1"
74,46,0.3108,321.7,3.609e+04,0.008813,1.00000,"ABHD14A ABHD14B ACKR2 APEH CACNA2D2 CAMP CCDC71 CCR2 CCR3 CCR5 CCR8 CCR9 CCRL2 COL7A1 CXCR6 DNAH1 FAM198A GLYCTK GNAT1 HYAL1 HYAL3 IQCF1 IQCF2 IQCF3 IQCF5 IQCF6 ITIH3 ITIH4 KLHDC8B KRBOX1 MUSTN1 MYL3 NISCH NT5DC2 PFKFB4 SCN10A SCN11A SEMA3G SLC22A14 SPINK8 TLR9 TRANK1 VIPR1 XCR1 ZNF445 ZNF502"
75,70,0.3497,844.4,5.446e+04,0.01523,1.00000,"ADAM11 AOC2 AOC3 ARL5C CCR7 DHRS11 EPOP FKBP10 GAS2L2 GAST GSDMA GSDMB HAP1 HEXIM2 HSPB9 KLHL11 KRT10 KRT12 KRT13 KRT15 KRT16 KRT19 KRT20 KRT222 KRT23 KRT24 KRT25 KRT26 KRT27 KRT28 KRT31 KRT32 KRT33A KRT33B KRT34 KRT35 KRT36 KRT37 KRT39 KRT40 KRT9 KRTAP1-1 KRTAP1-3 KRTAP1-4 KRTAP1-5 KRTAP3-1 KRTAP3-2 KRTAP3-3 KRTAP4-11 KRTAP4-2 KRTAP4-3 KRTAP4-4 KRTAP4-6 KRTAP4-8 KRTAP4-9 KRTAP9-1 KRTAP9-3 KRTAP9-8 KRTAP9-9 LGALS9 LRRC3C P3H4 RDM1 RND2 STAT5A TBKBP1 TMSB10 TMUB2 TUBG2 ZPBP2"
76,25,0.3562,106.9,1.908e+04,0.005555,1.00000,"AIF1 C6orf222 C6orf48 GSTA3 HLA-DMB HLA-F HSPA1L LY6G5C LY6G6F MICB MPIG6B MSH5 NCR3 NUDT3 OR14J1 OR2B6 OR2J3 PPT2 PSORS1C2 STK19 TAP1 TAP2 TNXB TRIM10 TRIM26"
77,8,0.4046,11.33,6760,0.001669,0.999679,"ABHD16B CCR4 FBLN2 PLGRKT SLC1A6 SMIM14 TCIRG1 ZUP1"
78,14,0.4057,36.92,9879,0.003713,0.999997,"ATP6V0B CDC20 CLSPN EBNA1BP2 EIF3I GNL2 IPO13 PABPC1 PSMB2 SF3A3 SNIP1 TRAPPC3 UTP11 YARS"
